bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.9877207008165148,0.9943129926146856,0.7574780675071306,386.46970258235933,2.4521350622177125,0.25191197395324705,318.67,0.008054136509398,1.1158161231197417e-15,0.04322204132014753,19.87301772216065,0.1326502073745295,0.014207252545061617,10.810633560517996
1000,0.9913758167813715,0.9943129926146856,0.8180028341338884,50.11572655200958,2.4657634234428407,0.347767653465271,1136.77,0.007008785244247739,1.1158161231197417e-15,0.04077286528269223,2.7988808373934275,0.26564404898503857,0.02990187891045831,51.945164365993705
10000,0.993073275633041,0.9943129926146856,0.932400126393199,8.759601092338562,2.426525528430939,0.6768877840042115,9837.95,0.007588038570576442,1.1158161231197417e-15,0.03105257691174452,1.0049507392453627,0.4141716198672081,0.1013831673374225,325.3100580037203
100000,0.9933210907728597,0.9943129926146856,0.9886025897532957,2.756911232471466,2.260212697982788,1.4992862844467163,61118.04,0.005439133619094862,1.1158161231197417e-15,0.008386298294906483,0.1350002716948616,0.10427020994518499,0.06405824873827132,584.4515502122093
1000000,0.41216709957043124,0.9943129926146856,0.9874374735195746,1.4611652898788452,2.2597583508491517,1.4983402585983276,60715.0,0.021670275002622082,1.1158161231197417e-15,0.0082578634271432,0.06968858942704187,0.08450720599072886,0.06858949954198883,0.0
