bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.9919319715834607,0.9956651547456447,0.7120523273062562,243.3993415093422,16.97355572462082,0.17236403942108156,311.67,0.007027495637107088,0.0038368781114328007,0.03906519446496093,2.9593681099337106,0.3619977467357403,0.004402677250202091,18.318757291008275
1000,0.9927080042839284,0.9948300534338655,0.7616182976037418,29.751126658916473,16.212388241291045,0.19925373792648315,692.24,0.006427716120562348,0.0038990748669076834,0.029481835540083254,1.5488969469579434,0.5773610907393494,0.012295578606913857,152.09978914707892
10000,0.9939362777120561,0.9948995422054142,0.8642864864293781,8.661840198040009,16.156736948490142,0.5489652967453003,5233.75,0.006554407923819233,0.003967705599595993,0.04817549945940682,1.562914745166571,0.5400887014627558,0.12047901905988388,1457.9756990049214
100000,0.9813788704257037,0.9951407351807612,0.9634040929316875,9.483410272598267,16.359731266498567,4.341702733039856,41400.3,0.015753659602330956,0.004136311043119264,0.022345034790325652,4.167089719758623,0.38645930243282256,1.9592877858223512,15444.63757189766
1000000,0.7816121869997403,0.9951294713546285,0.9616464854113925,6.148910970687866,16.701721975803377,5.00689287185669,45591.52,0.07890470994419536,0.0038938695357099676,0.021264426816733458,2.7833387593156522,0.579004076892961,2.5956416095596095,19386.603884938566
