bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.9495537865633163,0.9721162939936527,0.7712820728746402,11.092092263698579,2.187492845058441,0.009474520683288573,998.31,0.020430876066176808,0.005129126772291999,0.03896124251229967,0.4687245524579136,0.07630734033085265,0.0006916542002457659,33.71739202922618
1000,0.9551653061740424,0.9720258904869226,0.794051924080279,1.7894676113128662,2.2441259813308716,0.012853913307189942,1492.36,0.019174917504749017,0.005380840129797275,0.04496570557558982,0.15733653853931118,0.06613874708155895,0.0013517836144295694,158.3007953807618
10000,0.9599421730897761,0.9720858620221429,0.8796579507561821,1.0199976778030395,2.2527938079833985,0.05992834091186523,7448.55,0.019618115002731272,0.005289953183142646,0.038008734417156485,0.21130589391943802,0.05225076337130204,0.01508979316181337,1628.879129861074
100000,0.9459298129123271,0.9718820615431398,0.9620816546557294,2.2937320470809937,2.250770888328552,0.9181513309478759,60251.65,0.03314577837697141,0.00557359430887596,0.01804507101858199,0.9213066757129292,0.06416556449812724,0.35217749061024817,17783.93930601145
1000000,0.7622658256202732,0.9721456887072035,0.9639279093202795,1.3678262972831725,2.2048598527908325,1.0265633893013,66977.07,0.14463434350243146,0.005454799819034842,0.01834832441226507,0.5165589742476634,0.044345015647939856,0.44126760104284357,21660.355749083825
