bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.988280168526369,0.94810296402867,0.739034435550872,609.908249325752,1.86139407396317,0.246654441356659,275.64,0.007894085515279,0.026084191827868,0.037855644358102,5.69178342039553,0.087254283851408,0.03318955448498,9.77992171169426
1000,0.989542353667829,0.953634899111102,0.796334096399499,164.705637664795,1.8385514831543,0.584119329452515,622.7,0.007463178516231,0.016114574625603,0.049528706507133,20.377926426597,0.084939361145448,0.107341601655805,155.518390221124
10000,0.985897328006455,0.954141519928692,0.921944397013709,66.3867589664459,1.58118833780289,1.05012963533401,4571.92,0.007886998489285,0.016657694557978,0.043367305929792,21.3566332497654,0.513072669570018,0.453710133203062,1647.55415097776
