bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.49818592119161154,0.6600778695144166,0.563450583908521,5.783474142551422,1.6952221941947938,0.005983986854553223,550.68,0.07905200117558904,0.04499427754755022,0.0755450160881095,0.27977411812161956,0.08368871886593987,0.00045940366145356195,32.63476488022978
1000,0.49901930410241746,0.6691309428680553,0.5718605050240033,1.1282406520843506,1.701261065006256,0.008450026512145997,1054.48,0.09390068778486643,0.04807941646431664,0.07522918552989646,0.12332382654708603,0.061068217747146256,0.0009793227222175897,165.9454991461615
10000,0.5148338464288752,0.6600735806370785,0.6063721640380794,0.7114602851867676,1.741390814781189,0.04045456171035767,6422.75,0.11110321441410385,0.04912046382998685,0.06606275172424,0.1730651201087706,0.052530961103933,0.01300889282261418,1877.7550123388398
100000,0.46152474621182293,0.6598843694600204,0.5873157638217933,1.4449666047096252,1.7598770809173585,0.5930343699455262,53728.09,0.13930584275024407,0.04817582998302714,0.09653939261746863,0.6121639815465674,0.06554929036035775,0.2744332177310148,17932.121472005692
1000000,0.43867788882519787,0.6606301791925239,0.5957851614922066,1.0442535376548767,1.7389013195037841,0.762747118473053,64734.4,0.13363951147851028,0.04573495997056505,0.08637424590251995,0.5525043090085745,0.08748030519330907,0.41390627896214754,26428.307829433063
