bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.533543519333766,0.4720903020000333,0.41007257481340326,209.8103442621231,13.561705837249756,0.15410242557525636,156.12,0.04236568027323655,0.03308216166599027,0.029740153452649524,1.957348353120835,0.6855513967625356,0.0029544336036534643,14.847562123463264
1000,0.5202840099857908,0.47634161523623897,0.43311373355009364,25.38477970123291,14.37843225955963,0.17643890142440796,497.49,0.041136372487999555,0.03421793478631093,0.013342552695370146,1.128309666030397,0.5576830075767891,0.008579568360219883,135.6089516874818
10000,0.48939223799411047,0.4738117510455778,0.43445891542845116,6.981868472099304,14.635376238822937,0.4459424114227295,4725.67,0.03655426196102385,0.03476094868512226,0.0110455159174135,1.3719458895160856,0.5353917364009914,0.10844506392990835,1541.366251188545
100000,0.4799409309854184,0.47467243803130477,0.45993915686363307,6.899766974449157,13.73847785949707,3.1349570608139037,35952.32,0.039966458951416005,0.03225335652619814,0.03384739475192896,3.3523240435116493,0.6934748922455646,1.5904593210326279,15269.738268400497
1000000,0.3812903407605308,0.48103832611102254,0.4619740193114278,4.580565683841705,14.090639533996582,3.617376244068146,40087.96,0.06807200024249567,0.03524017757471235,0.040173246332003976,2.292116499962706,0.526139212701989,2.0952403297004802,19617.64265583715
