bs,f1-aoe (m),f1-c (m),f1-rss (m),t-aoe (m),t-c (m),t-rss (m),Nds-aoe (m),f1-aoe (s),f1-c (s),f1-rss (s),t-aoe (s),t-c (s),t-rss (s),Nds-aoe (s)
100,0.4711579120290953,0.5160891307962228,0.47200701512806104,570.2976053643226,1.7927308225631713,0.19558978080749512,144.28,0.0394061235395779,0.05598321235294758,0.05755721626284772,10.171553861323783,0.08393089938022691,0.007410516343322083,11.03170820220449
1000,0.4954409867460096,0.5253757838405595,0.5060470233601838,138.73539495944976,1.7636878323554992,0.5021934366226196,480.06,0.04039108095827134,0.06317953335713776,0.052628675320456036,29.34853612293488,0.09546766880901958,0.13130436357596814,182.70187782728496
10000,0.5312717751532683,0.5266822180827628,0.5187058418610482,150.6720800280571,1.77249431848526,1.021213984489441,4145.95,0.05514934556089192,0.06945269080134014,0.06451219628041929,45.62239064501323,0.09260728593514148,0.24387801641620344,1657.115477130503
